
Timestamp_ms,Lux_Value,Temperature_C,Pressure_Pa,TTFM_us
3348,19,19.30,34578,181515
3238,55,19.20,34590,180586
3238,35,18.90,34612,180576
3238,106,18.60,34634,180578
3238,0,18.70,34628,180575
3238,0,19.50,34565,180575
3238,0,20.60,34476,180575
3238,0,21.50,34394,180575
3238,0,23.00,34274,180575
3238,0,24.70,34135,180575
3238,0,26.40,33989,180572
3238,0,27.80,33864,180563
3241,0,28.90,33769,180922
3238,0,29.60,33700,180563
3238,0,30.20,33643,180572
3238,0,30.60,33600,180595
3238,0,31.10,33564,180601
3238,0,31.20,33552,180585
3238,0,31.20,33544,180581
3238,0,31.10,33547,180583
3238,0,31.00,33554,180579
3238,0,30.80,33565,180583
3238,0,30.70,33577,180584
3238,0,30.50,33590,180575
3238,0,30.10,33622,180583
3238,0,30.00,33629,180575
3238,0,29.80,33645,180575
3238,0,29.60,33665,180575
3238,0,29.40,33681,180575
3238,0,29.10,33703,180572
3238,0,28.90,33719,180572
3238,0,28.60,33742,180563
3238,0,28.30,33763,180564
3238,0,28.10,33782,180556
3238,0,27.80,33804,180595
3238,0,27.60,33823,180583
3238,0,27.40,33846,180589
3238,0,27.20,33864,180583
3238,0,26.90,33882,180580
3238,0,26.70,33898,180579
3238,0,26.50,33916,180580
3238,0,26.40,33932,180578
3238,0,26.20,33947,180579
3238,0,25.90,33965,180575
3238,0,25.80,33979,180574
3238,0,25.60,33992,180571
3238,0,25.10,34032,180575
3238,0,24.40,34089,180572
3238,0,23.80,34142,180564
3238,0,23.30,34187,180564
3238,0,22.90,34226,180557
3238,0,22.40,34260,180556
3239,0,22.10,34291,181551
3238,0,21.70,34318,180583
3238,0,21.40,34347,180583
3238,0,21.10,34374,180581
3238,0,20.90,34390,180581
3238,0,20.60,34416,180579
3238,0,20.40,34434,180579
3238,0,20.30,34450,180575
3238,0,20.10,34468,180575
3238,0,20.00,34475,180575
3238,0,19.80,34490,180575
3238,0,19.70,34496,180575
3238,0,19.60,34513,180572
3238,0,19.40,34523,180572
3238,0,19.30,34533,180564
3238,0,19.20,34545,180564
3238,0,19.10,34551,180557
3238,0,19.00,34563,180556
3238,0,19.00,34569,180556
3239,0,18.90,34576,181550
3238,0,18.80,34585,180583
3238,0,18.70,34595,180583
3238,0,18.70,34601,180581
3238,0,18.60,34603,180580
3238,0,18.50,34610,180578
3238,0,18.50,34619,180578
3238,0,18.40,34621,180575
3238,0,18.30,34631,180574
3238,0,18.30,34633,180575
3238,0,18.20,34643,180574
3238,0,18.20,34644,180574
3238,0,18.10,34650,180571
3238,0,18.10,34653,180572
3238,0,18.00,34659,180563
3238,0,18.00,34659,180563
3238,0,17.90,34665,180556
3238,0,17.90,34667,180556
3238,0,17.90,34672,180556
3239,0,17.80,34675,181550
3238,0,17.80,34677,180583
3238,0,17.70,34684,180583
3238,0,17.70,34685,180580
3238,0,17.60,34688,180580
3238,0,17.60,34694,180578
3238,0,17.60,34699,180578
3238,0,17.50,34702,180579
